City,State,Origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
Madison Heights,Michigan,Iraq,3,0,0,0,0,22,113,206,127,66,131,160,117,34,46,14,0,1039
Manchester,New Hampshire,Bhutan,0,0,0,0,0,0,174,273,108,242,82,34,28,36,38,22,0,1037
Worcester,Massachusetts,Bhutan,0,0,0,0,0,0,86,145,116,143,134,92,117,78,75,45,2,1033
Stone Mountain,Georgia,Burma,0,0,11,7,27,120,153,197,158,63,117,32,60,32,42,5,5,1029
Lancaster,Pennsylvania,Burma,0,0,0,0,0,46,120,96,112,66,94,137,153,107,60,17,19,1027
Houston,Texas,Eritrea,0,0,22,27,34,45,14,181,154,69,61,73,78,81,32,83,62,1016
Dallas,Texas,Dem. Rep. Congo,1,10,33,24,27,8,30,1,15,25,68,63,26,47,369,95,157,999
Harrisonburg,Virginia,Iraq,2,0,0,1,0,7,79,121,151,49,116,172,111,101,73,13,2,998
Wheaton,Illinois,Burma,0,0,2,8,6,110,132,136,74,66,88,37,161,71,78,21,7,997
Jacksonville,Florida,Iraq,0,0,0,5,0,3,73,152,152,33,142,141,145,67,61,20,2,996
Burlington,Vermont,Bhutan,0,0,0,0,0,0,7,57,91,152,197,71,122,113,105,56,16,987
Hartford,Connecticut,Burma,0,0,3,11,11,214,155,98,144,117,48,56,58,35,12,15,7,984
Rochester,Minnesota,Somalia,12,56,198,153,206,60,1,12,28,9,32,47,53,20,71,22,1,981
Jacksonville,Florida,Cuba,5,11,28,88,53,62,69,72,140,50,88,115,139,38,8,2,0,968
Chicago,Illinois,Dem. Rep. Congo,0,9,10,10,10,30,3,14,9,3,61,50,151,134,333,60,81,968
Scranton,Pennsylvania,Bhutan,0,0,0,0,0,0,0,94,127,198,143,105,133,76,46,35,1,958
Oklahoma City,Oklahoma,Burma,0,0,13,0,0,54,70,82,73,71,90,94,98,213,72,17,8,955
Sioux Falls,South Dakota,Somalia,3,0,140,67,55,60,111,61,20,30,50,48,105,124,65,15,1,955
Memphis,Tennessee,Somalia,0,1,156,72,54,40,73,127,56,69,71,89,79,32,34,2,0,955
Phoenix,Arizona,Cuba,61,6,135,205,61,54,101,55,84,50,37,48,30,12,2,0,0,941
West Springfield,Massachusetts,Bhutan,0,0,0,0,0,0,22,132,123,151,160,126,84,47,72,6,0,923
Grand Rapids,Michigan,Bhutan,0,0,0,0,0,0,62,99,78,83,140,100,96,73,85,79,25,920
Chicago,Illinois,Syria,0,0,0,0,0,0,0,0,1,7,0,0,18,100,647,132,2,907
Auburn,Washington,Ukraine,98,85,59,76,49,33,11,9,9,7,7,5,12,58,94,142,150,904
San Antonio,Texas,Iran,2,2,26,24,95,125,54,63,36,55,44,73,73,53,142,36,1,904
Minneapolis,Minnesota,Laos,0,0,560,293,29,3,7,0,2,10,0,0,0,0,0,0,0,904
Portland,Oregon,Bhutan,0,0,0,0,0,0,112,125,114,114,122,99,80,52,23,40,9,890
Lincoln,Nebraska,Burma,1,0,0,1,0,53,59,83,64,96,104,117,92,78,97,22,20,887
San Antonio,Texas,Bhutan,0,0,0,0,0,0,118,215,122,110,137,68,31,45,20,18,0,884
Greensboro,North Carolina,Dem. Rep. Congo,0,0,0,0,4,0,35,20,38,1,61,15,63,84,287,109,166,883
Dearborn,Michigan,Iraq,19,14,0,13,7,45,109,50,61,26,63,114,132,97,111,21,0,882
Orlando,Florida,Cuba,22,2,70,98,65,23,35,98,78,42,71,121,93,42,14,0,0,874
Boise,Idaho,Bhutan,0,0,0,0,0,0,180,216,132,126,47,47,45,15,45,14,3,870
Boston,Massachusetts,Somalia,0,23,305,118,43,59,30,20,14,10,14,19,33,75,73,30,0,866
Sacramento,California,Russia,125,127,86,121,40,81,38,31,9,19,18,2,22,14,83,25,20,861
Glendale,Arizona,Dem. Rep. Congo,2,0,0,0,10,1,0,0,0,2,8,0,71,127,398,30,210,859
Syracuse,New York,Iraq,0,2,0,0,0,0,56,121,104,39,75,143,147,55,89,26,0,857
Phoenix,Arizona,Afghanistan,142,85,28,92,59,21,52,28,29,10,14,39,21,24,125,45,41,855
Milwaukee,Wisconsin,Iraq,0,0,0,0,0,6,49,127,97,43,109,106,165,50,97,5,0,854
Brooklyn,New York,Russia,303,181,110,85,77,25,26,26,7,0,0,0,0,0,0,6,5,851
Tacoma,Washington,Ukraine,111,113,55,52,59,42,23,8,18,4,15,0,3,22,94,63,164,846
Saint Paul,Minnesota,Ethiopia,23,289,157,79,63,98,14,7,23,5,17,9,18,7,18,15,2,844
Hartford,Connecticut,Somalia,0,0,152,107,32,11,18,63,27,18,43,79,128,114,36,6,0,834
Abilene,Texas,Dem. Rep. Congo,0,0,15,9,15,53,38,8,56,14,36,35,83,115,182,75,98,832
Omaha,Nebraska,Sudan,33,96,125,129,108,17,9,50,32,4,17,42,11,16,116,24,0,829
Des Moines,Iowa,Sudan,33,110,218,139,139,34,12,27,7,5,2,4,8,12,27,51,1,829
Decatur,Georgia,Iraq,13,0,0,3,15,42,267,209,170,22,32,33,3,5,2,10,0,826
Greensboro,North Carolina,Burma,0,0,0,0,3,138,138,77,30,124,65,82,74,70,18,3,4,826
Saint Louis,Missouri,Burma,0,0,0,0,0,85,155,147,103,52,72,60,70,43,27,3,3,820
Huron,South Dakota,Burma,0,0,0,0,0,0,0,1,113,128,184,144,97,113,39,0,0,819
Brooklyn Park,Minnesota,Liberia,71,106,124,129,126,202,29,10,3,6,5,1,1,2,0,0,0,815
San Jose,California,Vietnam,166,93,61,187,85,72,45,89,13,0,0,3,1,0,0,0,0,815
Everett,Washington,Ukraine,78,146,92,98,99,51,21,16,6,4,0,0,21,26,62,49,42,811
Kansas City,Missouri,Dem. Rep. Congo,0,0,0,0,1,0,4,0,10,0,14,39,77,126,279,77,183,810
Elizabeth,New Jersey,Cuba,28,15,75,68,18,10,40,29,47,93,124,107,126,18,11,1,0,810
Lansing,Michigan,Iraq,4,0,4,19,5,34,69,40,118,49,106,150,110,60,32,7,0,807
Owensboro,Kentucky,Burma,0,0,0,0,0,0,0,0,127,80,101,105,108,136,74,15,55,801
Modesto,California,Iraq,8,0,0,0,0,11,131,140,164,49,123,114,48,10,1,1,0,800
Tacoma,Washington,Moldova,103,92,157,83,92,43,34,43,23,12,33,0,9,9,42,17,2,794
Indianapolis,Indiana,Dem. Rep. Congo,0,0,0,0,0,0,5,0,45,7,24,14,93,113,299,79,111,790
Houston,Texas,Vietnam,184,50,19,126,77,73,45,115,32,13,19,8,6,1,0,2,14,784
Spring Valley,California,Iraq,0,0,0,0,0,50,113,192,134,62,98,64,35,5,19,5,0,777
Phoenix,Arizona,Liberia,12,103,356,139,65,51,24,17,4,2,0,0,2,0,0,0,1,776
Baltimore,Maryland,Dem. Rep. Congo,11,26,32,4,11,3,1,57,27,0,2,28,79,79,258,25,131,774
Portland,Oregon,Russia,60,24,43,266,141,33,13,16,19,4,15,13,1,30,51,36,7,772
Las Vegas,Nevada,Dem. Rep. Congo,0,1,0,0,6,5,11,38,14,22,18,7,31,143,326,64,85,771
Lansing,Michigan,Dem. Rep. Congo,0,0,0,0,0,6,13,9,28,4,5,85,75,108,261,81,91,766
Fargo,North Dakota,Somalia,8,10,35,116,56,47,22,45,30,5,51,50,62,71,111,43,0,762
Milwaukee,Wisconsin,Laos,0,0,487,248,8,5,7,0,0,0,2,0,0,0,0,0,0,757
North Highlands,California,Ukraine,165,119,36,40,36,5,33,27,7,1,7,0,23,15,106,66,70,756
Concord,New Hampshire,Dem. Rep. Congo,0,0,24,6,1,23,23,1,4,0,53,85,112,120,184,47,67,750
Atlanta,Georgia,Iraq,5,0,0,0,0,0,32,49,77,37,82,72,211,100,68,11,1,745
Raleigh,North Carolina,Dem. Rep. Congo,0,0,0,6,4,1,10,30,19,7,26,59,52,127,277,44,76,738
