Index,DMA,knives,ford,irishman,farewell,late,sick,logan,brooklyn
183,Joplin MO-Pittsburg KS,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
184,Dothan AL,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
185,Victoria TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Ottumwa IA-Kirksville MO,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0
187,St. Joseph MO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Jackson TN,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
189,Lake Charles LA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
190,Alexandria LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Greenwood-Greenville MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Panama City FL,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
193,Columbus-Tupelo-West Point MS,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
194,Beaumont-Port Arthur TX,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
195,Hattiesburg-Laurel MS,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
196,Meridian MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Quincy IL-Hannibal MO-Keokuk IA,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
198,Sioux Falls(Mitchell) SD,0.0,0.0,0.0,0.0,0.0,38.0,33.0,0.0
199,Mankato MN,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
200,North Platte NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Fairbanks AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Juneau AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Great Falls MT,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
204,Billings MT,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
205,Cheyenne WY-Scottsbluff NE,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
206,Missoula MT,0.0,0.0,0.0,0.0,0.0,96.0,39.0,0.0
207,Glendive MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Palm Springs CA,0.0,0.0,0.0,0.0,0.0,86.0,33.0,0.0
209,Bend OR,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0
210,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
